Start Time,End Time,Duration,Marker Statistics (Spont),Marker Statistics (Spont??),Marker Statistics (PS),Marker Statistics (PS??),StartDP_original,EndDP,AllMarker,DurationDP,Start Time,
[s],[s],[s],[#],[#],[#],[#],[],[],[],[],[],
2267.071,2268.097,1.026,0,0,1,0,45341,45361,3,20,5/23/2017 10:01:55 AM,
2365.922,2367.151,1.229,0,1,0,0,47318,47343,2,25,5/23/2017 10:03:33 AM,
2367.151,2368.914,1.763,0,0,1,0,47343,47378,3,35,5/23/2017 10:03:35 AM,
2481.315,2483.368,2.053,0,0,1,0,49626,49667,3,41,5/23/2017 10:05:29 AM,
2531.636,2532.922,1.286,1,0,0,0,50632,50658,1,26,5/23/2017 10:06:19 AM,
2727.279,2728.319,1.04,0,0,1,0,54545,54566,3,21,5/23/2017 10:09:35 AM,
2854.558,2856.321,1.763,1,0,0,0,57091,57126,1,35,5/23/2017 10:11:42 AM,
2863.488,2864.587,1.099,0,1,0,0,57269,57291,2,22,5/23/2017 10:11:51 AM,
2864.615,2867.694,3.079,0,0,1,0,57292,57353,3,61,5/23/2017 10:11:52 AM,
2867.711,2869.33,1.619,0,0,0,1,57354,57386,4,32,5/23/2017 10:11:55 AM,
2898.876,2900.118,1.242,1,0,0,0,57977,58002,1,25,5/23/2017 10:12:26 AM,
3009.265,3010.508,1.243,1,0,0,0,60185,60210,1,25,5/23/2017 10:14:17 AM,
3039.69,3041.207,1.517,1,0,0,0,60793,60824,1,31,5/23/2017 10:14:47 AM,
3047.199,3048.557,1.358,1,0,0,0,60943,60971,1,28,5/23/2017 10:14:55 AM,
3049.681,3052.21,2.529,0,0,1,0,60993,61044,3,51,5/23/2017 10:14:57 AM,
3052.817,3054.161,1.344,0,0,0,1,61056,61083,4,27,5/23/2017 10:15:00 AM,
3068.713,3070.375,1.662,0,0,1,0,61374,61407,3,33,5/23/2017 10:15:16 AM,
3070.418,3072.34,1.922,0,0,0,1,61408,61446,4,38,5/23/2017 10:15:18 AM,
3190.62,3193.293,2.673,0,0,1,0,63812,63865,3,53,5/23/2017 10:17:18 AM,
3193.322,3195.2,1.878,0,0,0,1,63866,63904,4,38,5/23/2017 10:17:21 AM,
3375.341,3376.959,1.618,0,1,0,0,67506,67539,2,33,5/23/2017 10:20:23 AM,
3376.988,3381.555,4.567,0,0,1,0,67539,67631,3,92,5/23/2017 10:20:24 AM,
3536.446,3538.454,2.008,0,0,1,0,70728,70769,3,41,5/23/2017 10:23:04 AM,
3538.483,3540.319,1.836,0,0,0,1,70769,70806,4,37,5/23/2017 10:23:06 AM,
3540.347,3541.778,1.431,0,0,0,1,70806,70835,4,29,5/23/2017 10:23:08 AM,
3544.356,3546.032,1.676,1,0,0,0,70887,70920,1,33,5/23/2017 10:23:12 AM,
4204.684,4206.693,2.009,0,0,1,0,84093,84133,3,40,5/23/2017 10:34:12 AM,
4207.893,4209.583,1.69,0,0,0,1,84157,84191,4,34,5/23/2017 10:34:15 AM,
4315.3,4316.481,1.181,1,0,0,0,86306,86329,1,23,5/23/2017 10:36:03 AM,
4376.984,4379.512,2.528,0,0,1,0,87539,87590,3,51,5/23/2017 10:37:04 AM,
4379.555,4382.445,2.89,0,0,0,1,87591,87648,4,57,5/23/2017 10:37:07 AM,
4528.557,4530.103,1.546,0,0,1,0,90571,90602,3,31,5/23/2017 10:39:36 AM,
4704.79,4709.039,4.249,0,0,1,0,94095,94180,3,85,5/23/2017 10:42:32 AM,
4807.393,4809.026,1.633,1,0,0,0,96147,96180,1,33,5/23/2017 10:44:15 AM,
4914.252,4915.654,1.402,0,1,0,0,98285,98313,2,28,5/23/2017 10:46:02 AM,
4915.668,4919.873,4.205,0,0,1,0,98313,98397,3,84,5/23/2017 10:46:03 AM,
4963.473,4965.048,1.575,1,0,0,0,99269,99300,1,31,5/23/2017 10:46:51 AM,
5199.802,5204.195,4.393,0,0,1,0,103996,104083,3,87,5/23/2017 10:50:47 AM,
5204.204,5205.413,1.209,0,0,0,1,104084,104108,4,24,5/23/2017 10:50:52 AM,
